INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:21:46,802 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:21:46,841 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:21:46 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:21:46,863 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/jmxContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:21:46,886 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/viewContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:21:46,890 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:21:46,939 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/overlay/overlayContext.xml]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:21:47,220 - Initializing EhCache CacheManager
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:21:47,265 - Loading XML bean definitions from ServletContext resource [/WEB-INF/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:21:47,269 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@10306db0: startup date [Sun Oct 08 13:21:47 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:21:47,563 - Root WebApplicationContext: initialization completed in 760 ms
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:21:47,572 - FrameworkServlet 'AjaxServlet': initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:21:47,574 - Refreshing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:21:47 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:21:47,574 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/servlet/ajax-servlet.xml]
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:21:47,604 - Mapped URL path [/json] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:21:47,604 - Mapped URL path [/json.*] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:21:47,604 - Mapped URL path [/json/] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:21:47,604 - Mapped URL path [/findCity] onto handler 'findCityController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:21:47,604 - Mapped URL path [/findCity.*] onto handler 'findCityController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:21:47,604 - Mapped URL path [/findCity/] onto handler 'findCityController'
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:21:47,642 - FrameworkServlet 'AjaxServlet': initialization completed in 70 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:23:16,917 - Closing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:21:47 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:23:16,918 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:21:46 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:23:16,920 - Closing org.springframework.web.context.support.GenericWebApplicationContext@10306db0: startup date [Sun Oct 08 13:21:47 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:23:16,920 - Shutting down EhCache CacheManager
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:23:40,041 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:23:40,083 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:23:40 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:23:40,106 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/jmxContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:23:40,131 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/viewContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:23:40,136 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:23:40,185 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/overlay/overlayContext.xml]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:23:40,459 - Initializing EhCache CacheManager
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:23:40,505 - Loading XML bean definitions from ServletContext resource [/WEB-INF/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:23:40,509 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@65608c4: startup date [Sun Oct 08 13:23:40 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:23:40,798 - Root WebApplicationContext: initialization completed in 755 ms
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:23:40,806 - FrameworkServlet 'AjaxServlet': initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:23:40,808 - Refreshing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:23:40 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:23:40,808 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/servlet/ajax-servlet.xml]
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:23:40,837 - Mapped URL path [/json] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:23:40,837 - Mapped URL path [/json.*] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:23:40,837 - Mapped URL path [/json/] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:23:40,838 - Mapped URL path [/findCity] onto handler 'findCityController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:23:40,838 - Mapped URL path [/findCity.*] onto handler 'findCityController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:23:40,838 - Mapped URL path [/findCity/] onto handler 'findCityController'
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:23:40,876 - FrameworkServlet 'AjaxServlet': initialization completed in 70 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:29:45,987 - Closing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:23:40 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:29:45,988 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:23:40 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:29:45,989 - Closing org.springframework.web.context.support.GenericWebApplicationContext@65608c4: startup date [Sun Oct 08 13:23:40 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:29:45,989 - Shutting down EhCache CacheManager
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:30:00,384 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:30:00,427 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:30:00 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:00,450 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/jmxContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:00,475 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/viewContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:00,480 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:00,528 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/overlay/overlayContext.xml]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:30:00,809 - Initializing EhCache CacheManager
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:00,856 - Loading XML bean definitions from ServletContext resource [/WEB-INF/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:30:00,861 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@65608c4: startup date [Sun Oct 08 13:30:00 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:30:01,150 - Root WebApplicationContext: initialization completed in 763 ms
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:30:01,157 - FrameworkServlet 'AjaxServlet': initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:30:01,159 - Refreshing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:30:01 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:01,159 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/servlet/ajax-servlet.xml]
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:30:01,189 - Mapped URL path [/json] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:30:01,189 - Mapped URL path [/json.*] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:30:01,189 - Mapped URL path [/json/] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:30:01,190 - Mapped URL path [/findCity] onto handler 'findCityController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:30:01,190 - Mapped URL path [/findCity.*] onto handler 'findCityController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:30:01,190 - Mapped URL path [/findCity/] onto handler 'findCityController'
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:30:01,230 - FrameworkServlet 'AjaxServlet': initialization completed in 73 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:33:03,069 - Closing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:30:01 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:33:03,069 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:30:00 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:33:03,070 - Closing org.springframework.web.context.support.GenericWebApplicationContext@65608c4: startup date [Sun Oct 08 13:30:00 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:33:03,070 - Shutting down EhCache CacheManager
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:33:45,070 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:33:45,112 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:33:45 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:33:45,134 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/jmxContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:33:45,157 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/viewContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:33:45,162 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:33:45,210 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/overlay/overlayContext.xml]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:33:45,483 - Initializing EhCache CacheManager
