INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:22:16,810 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:22:16,860 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:22:16 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:22:16,888 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 13:22:17,049 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:22:17,053 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:22:17,133 - Initializing EhCache CacheManager
ERROR [main] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:22:17,215 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 13:22:17,231 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:22:17,239 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:22:17,243 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@13e25d27: startup date [Sun Oct 08 13:22:17 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:22:17,361 - Root WebApplicationContext: initialization completed in 549 ms
INFO  [net.sf.ehcache.CacheManager@614c3747] net.sf.ehcache.util.UpdateChecker 2017-10-08 13:22:18,418 - This is the latest GA release.
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:23:16,889 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:22:16 BST 2017]; root of context hierarchy
