INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:22:09,480 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:22:09,534 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:22:09 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:22:09,561 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:22:09,763 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:22:09,844 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:22:09,894 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:22:09,902 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@5d68294d: startup date [Sun Oct 08 13:22:09 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:22:10,059 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:22:10,097 - Root WebApplicationContext: initialization completed in 616 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:23:17,061 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:22:09 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:23:17,061 - Closing org.springframework.web.context.support.GenericWebApplicationContext@5d68294d: startup date [Sun Oct 08 13:22:09 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:24:02,876 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:24:02,926 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:24:02 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:24:02,952 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:24:03,158 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:24:03,242 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:24:03,290 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:24:03,299 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@63fb404d: startup date [Sun Oct 08 13:24:03 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:24:03,456 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:24:03,493 - Root WebApplicationContext: initialization completed in 616 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:29:46,113 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:24:02 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:29:46,114 - Closing org.springframework.web.context.support.GenericWebApplicationContext@63fb404d: startup date [Sun Oct 08 13:24:03 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:30:23,141 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:30:23,191 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:30:23 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:23,217 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:23,421 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:30:23,504 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:30:23,553 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:30:23,561 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@657f8754: startup date [Sun Oct 08 13:30:23 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:30:23,716 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:30:23,752 - Root WebApplicationContext: initialization completed in 610 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:33:03,199 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:30:23 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:33:03,200 - Closing org.springframework.web.context.support.GenericWebApplicationContext@657f8754: startup date [Sun Oct 08 13:30:23 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:34:07,927 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:34:07,980 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:34:07 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:34:08,006 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:34:08,213 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:34:08,303 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:34:08,369 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:34:08,378 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7fc1daac: startup date [Sun Oct 08 13:34:08 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:34:08,550 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:34:08,592 - Root WebApplicationContext: initialization completed in 663 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:35:07,152 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:34:07 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:35:07,152 - Closing org.springframework.web.context.support.GenericWebApplicationContext@7fc1daac: startup date [Sun Oct 08 13:34:08 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:36:13,438 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:36:13,490 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:36:13 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:36:13,518 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:36:13,728 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:36:13,814 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:36:13,866 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:36:13,875 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@18c34745: startup date [Sun Oct 08 13:36:13 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:36:14,036 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:36:14,074 - Root WebApplicationContext: initialization completed in 635 ms
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:12,863 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:36:13 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:38:12,864 - Closing org.springframework.web.context.support.GenericWebApplicationContext@18c34745: startup date [Sun Oct 08 13:36:13 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:38:45,264 - Root WebApplicationContext: initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:45,325 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:38:45 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:45,357 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:45,603 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:38:45,715 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:45,778 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
